index,precipitacao,pressao_atmosferica,pressao_max,pressao_min,radiacao,temperatura_do_ar,temperatura_orvalho,temperatura_max,temperatura_min,temperatura_orvalho_max,temperatura_orvalho_min,umidade_max,umidade_min,umidade_relativa,direcao_vento,rajada_max,velocidade_media_vento,MediaModuloCorrelacoes
A601,-0.04316663280663133,-0.08452443399009411,-0.0606444383648207,-0.05005991992734452,-0.028497462267192027,-0.05853317444104899,-0.06976658358355908,-0.07834279094617176,-0.0647261876156172,-0.062354820037698586,-0.05694410226072417,-0.05456932912544287,0.04259029030065377,-0.04123026367968875,0.029052992455627553,-0.1575988635686267,-0.1075869725281373,0.06412877987641644
A602,0.0022614605976962942,-0.10447787323553864,-0.08000207354813652,-0.07287484532241822,0.2754929665335724,-0.0568784449621393,0.13837784269322573,-0.058523652241243916,-0.05900319442182812,0.15510462479649575,0.14744626551630358,0.2587114772181208,0.24841666774182897,0.25145429247397233,-0.11095700904066746,-0.1436520378575654,-0.01928201811387927,0.12840686743027252
A603,-0.016115760488291782,-0.09899557600556962,-0.07444460019957358,-0.06613497331626049,-0.22454908641229493,0.010101407291263523,-0.005727039574049798,-0.017064804866257357,0.011680659967494402,-0.006331379061358887,0.009042466685460302,-0.03301918555513071,0.048956914561258204,-0.040711970023027254,0.10818245109573624,-0.18329910509714203,-0.16107783499153613,0.06561383618774737
A604,0.013906900744258476,-0.04069725027749061,-0.014441536533723681,0.0019621538032321873,-0.39337040589147215,-0.16818627919489,0.1066466786135776,-0.18049975645068153,-0.16681774507683322,0.11418119780604631,0.11589660312433155,0.42302175185238355,0.41076077417533186,0.4169538010919737,0.11000035136772907,-0.2682036059194906,-0.06178408735720771,0.17690181642827374
A606,0.009174659738094594,-0.107328741525657,-0.07811783145751745,-0.07894224051404437,-0.29487397027517664,0.02605037793990571,0.07560268416480584,0.031285559126531956,0.026281920269222932,0.07264175538429372,0.045618428420058595,0.08856916008878962,0.0618091345866652,0.08795037349811301,0.031919202596165965,-0.05081323409480859,-0.07080172073920217,0.07281064673053256
A607,0.0032159211568523662,-0.10799390782861773,-0.0788538983204889,-0.07851107184918531,0.01730078516039519,-0.10245547828857854,0.015728505918282155,-0.11141436673331286,-0.10609397776332853,0.02640798745965016,0.024774635913443612,0.27956367080161393,0.29357433246755327,0.26839833201444235,0.14814953569773534,-0.20329142828050406,-0.17569992949241922,0.12008398618508256
A608,0.01684178531461702,-0.14822950243163588,-0.11933715135488658,-0.11790551887329237,-0.07461234792409503,-0.04175672586617118,0.14903684513121848,-0.06425715288253996,-0.04060053818995824,0.14534270773634098,0.16279552765804917,0.326141396156309,0.3445349133338278,0.3346958163999852,0.06375572869638754,-0.20315394500831338,-0.19853068528955084,0.15008989930865754
A609,-0.09632719896828333,-0.07521587984745433,-0.05131868097972307,-0.02512701403169013,0.021010174129243442,-0.12811849688561683,0.008836984881462664,-0.16576967832158615,-0.12934267424978188,0.00710155605657458,0.023222248037865715,0.21997052314748347,0.23968044897968072,0.21552978987611396,0.1342922266959459,-0.2504564299398948,-0.19824072539125384,0.11703298414233264
A610,-0.016665051392245174,-0.2665433260509595,-0.2345538544604691,-0.23519402217953797,0.012290207697904598,0.045144240490851396,0.04940607618721672,0.040808469618955824,0.04851035953609753,0.055320026084947495,0.040947200628076864,-0.10739177616100284,-0.1304197254021941,-0.11446636176811222,0.07972263554119423,0.031470563063684544,0.018807951452474214,0.08986246163034849
A611,-0.020321358511197124,-0.10262030293570801,-0.07418938826537365,-0.05740341940575282,0.4226776697557313,-0.08721220509523792,0.06021309626526244,-0.11929046751637024,-0.09236604443977113,0.06260258592662414,0.06669010272047543,0.3264379686444388,0.3517121357645375,0.31308717639953954,-0.08259400089320156,-0.12688746322298666,0.03291258735070767,0.1411304690066421
A618,-0.07626544012444703,-0.11469806732292648,-0.08166012596690564,-0.07802552101616644,-0.11324055504257992,-0.03773956121780331,0.00033977548391065884,-0.04835046093442774,-0.04126537439703854,-0.007713553368080664,-0.00017177264220960797,0.042931390301048644,0.04153410712291102,0.03339460618011845,-0.004060588851100739,0.04986534933305616,0.1561811733285445,0.054555142507839736
A619,-0.039801650241888545,-0.09765640250743614,-0.06761324566748558,-0.06861056803073999,-0.3214210438297481,-0.045176811606345964,0.025703721829306584,-0.060869795999353174,-0.04195257385753731,0.025574702363488137,0.03373910101880412,0.25319181653057654,0.23645256038499543,0.23476743011564308,-0.02141744523498017,0.054391458462495,0.05223610465511745,0.09885743719623184
A620,0.03615710807443886,-0.15998889807116923,-0.1297984266576301,-0.1287920998202345,-0.21885102056239472,0.022870165151660165,0.201562625945242,0.03635102197176949,0.016992949162382445,0.2149729885018616,0.19561053073231943,0.30131206147885464,0.27072962557717806,0.2809290655327332,0.06138740327200812,-0.009109423170474766,-0.014570298375952619,0.13529327717990022
A621,-0.011332476728541763,-0.11190650524913719,-0.08892653780274182,-0.0804744446060032,-0.13630832139483426,-0.09832328576504903,0.17504173701546205,-0.11193844009415133,-0.09535271260430171,0.1797436208471844,0.19122191243807296,0.37852417115777554,0.3591136317361893,0.3587126817194643,-0.11047166165043396,-0.2195638350687079,-0.22019224616588892,0.17218518953199646
A624,-0.021588724981385657,-0.09998833877352194,-0.06555967867804711,-0.06157589563115899,0.11240020914673339,-0.03263208769988474,-0.08985267450733214,-0.05198551183114553,-0.03558074696197833,-0.09597072370496809,-0.09007889120695006,-0.30707770565934733,-0.1715763046305931,-0.2673018333919341,0.014881103782199005,-0.08687357505876663,-0.08429746720178714,0.09936596899104314
A625,-0.017834997271891046,-0.06557640002018175,-0.043984693465612394,-0.020784351109308125,-0.3323611930559097,-0.1133212351011815,0.06392524755770457,-0.13657130874763787,-0.10725758854781753,0.05827211570169923,0.06474982867175932,0.29219151015038336,0.2972998443547235,0.2971555560129727,-0.025649040807596186,-0.23739960818839473,-0.2680357512787067,0.14366883941432237
A626,-0.04860537775654128,-0.12065585195982345,-0.0925826786683025,-0.07966078343499931,0.16282809733699471,-0.05675566842283391,0.06028584661319196,-0.08354943752530897,-0.05797558019113729,0.06025916617310683,0.07067297322081054,0.37185539851445526,0.3893672489541014,0.37308812821357107,0.03598499314797086,-0.24721579755499992,-0.2200183840367925,0.14890361245440834
A627,0.01879314529499078,-0.19304671506870405,-0.1851166925249901,-0.18060550557668434,-0.23357915588255912,0.038725285422583675,0.28696771816338507,0.038238726240699204,0.03706624369355052,0.2870567347407119,0.27855015360188723,0.29454400879008913,0.23352699350726927,0.2859581864164002,0.008903307867310986,-0.14535339764869015,-0.1464820921512068,0.17014788603480663
A628,-0.003668467429513833,-0.14660140088536855,-0.11968794504090427,-0.1142708037808151,0.23877583391416876,-0.024741813489186144,0.0633977450630035,-0.04130207943025922,-0.018534515536142424,0.058719616588462066,0.08051816550607213,0.18354030937113855,0.2247178662865506,0.2027405377682654,0.018132551308114687,-0.25317502866202024,-0.2924204079666963,0.12264382870745187
A629,-0.02811194728020456,-0.15404842209837666,-0.14895463481048127,-0.13909055360607647,0.9486832980505139,0.01747321163174597,0.11473974390555368,-0.003952518672823317,0.022184203060007773,0.1149325350704343,0.11876199895965997,0.16441568317628824,0.19508943243149815,0.1669906062505658,0.022878249882378434,-0.010151968575958398,-0.005893457567116134,0.13978543911939312
A630,0.03450616318250586,-0.18797688458262427,-0.18304152338207588,-0.1775345420604235,,0.02538773076836314,0.1469855314253621,0.024269046899690963,0.02656516014696649,0.1515480321778281,0.1477531560773123,0.10103610711291267,0.14672106559642484,0.10961084669727805,0.09333251027877162,0.0682426017464916,0.017368418504216276,0.10261745753995298
A635,0.026152519564501455,0.07630779492836362,0.06806356483595784,0.06924881847118955,0.36072651335404327,0.021979650281115162,0.05990878612950134,0.009628338151199104,0.018121566856238717,0.0711549001592381,0.06853462449934905,0.017606485451099288,0.047703718117733544,0.03594604894313051,0.039845942526680965,0.019566940490933684,-0.01765962306243066,0.060479755048394465
A636,0.0025860471879359834,-0.14046383785829933,-0.1285988379178866,-0.12277907355521274,-0.2912903065967506,0.010386371010275805,0.16774011734042163,-0.0024321380774222495,0.01279269696835804,0.16996417353895768,0.17596786092384015,0.4548947136142022,0.3782165988155071,0.4258644060906067,0.029281558614019803,-0.10309929390076171,-0.07338957526493618,0.1582204474867879
A652,-0.011289403323158998,-0.09362870238985523,-0.06831214207810629,-0.06505322436518925,0.27062172116114536,0.036328168042618326,0.05383334657308443,0.038924783500780644,0.03976513603448767,0.055495742092820356,0.049428738703543605,0.05255535167680804,0.03488993846882751,0.03857584498459595,0.011227281328716634,-0.11966348110089765,-0.16312157844210107,0.07074791672157277
A659,-0.04161102337323612,-0.12422084416335885,-0.09939951305877277,-0.0943587196527282,-0.42101362854991137,-0.12401875044694542,0.07771763321416492,-0.14024530971402446,-0.12242159034730304,0.07875598478176972,0.07747528688042443,0.5290753286227956,0.49019309367874936,0.5189831938566494,0.21649975767685214,-0.25056323373029177,-0.2374701201404809,0.21435429481696816
A667,-0.0014397670532002222,-0.13455092912603314,-0.10860226607047116,-0.11006638534397534,0.03431231768107209,-0.05243588105952973,0.02485694845480025,-0.05188946910755607,-0.058785864610862604,0.022057521227957424,0.04114040547122176,0.12450085788080939,0.15571158967282686,0.12720226729819875,0.12773726608044095,-0.11899626228474385,-0.13708241631061782,0.08419814204319515
